Classifier,Acc_black,Acc_white,Acc_Diff,ClassAcc_Absent_black,ClassAcc_Present_black,ClassAcc_Absent_white,ClassAcc_Present_white,ClassAcc_Absent_Diff,ClassAcc_Present_Diff,Acc_Chisq_stat,Acc_Chisq_df,Acc_Chisq_p,ClassAcc_Absent_Chisq_stat,ClassAcc_Present_Chisq_stat,ClassAcc_Absent_Chisq_df,ClassAcc_Present_Chisq_df,ClassAcc_Absent_Chisq_p,ClassAcc_Present_Chisq_p,AccAUC,AUC,Acc,AccHalf,ClassAcc_Absent,ClassAccHalf_Absent,ClassAcc_Present,ClassAccHalf_Present,Description
UMS4.1.1,0.903656398697721,0.812588736393753,0.09106766230396801,0.7469369570060147,0.9235066730622725,0.8722986988497077,0.6964495305164319,-0.12536174184369298,0.22705714254584064,147.30290695303293,1,6.737747068585657e-34,51.61468697415524,457.3128145415676,1,1,6.75344821495733e-13,1.8478763905262093e-101,0.7971076283951766,0.9290268939149872,0.8579930906346764,0.8537631784575365,0.8539938199754735,0.8157561037715279,0.8603502701028444,0.8777219498890259,Combination of 2.1.1 & 1.1
UMS4.1.2,0.8839767466146831,0.8422594020935424,0.04171734452114062,0.8211576846307386,0.8972467006788379,0.9169838611449452,0.6032866707242849,-0.09582617651420666,0.29396002995455306,24.420266549902294,1,7.744963744773019e-7,46.20968887486117,388.45684576974816,1,1,1.062502535702974e-11,1.7940126052733494e-86,0.7989270895429216,0.9276678007907037,0.8612050059290484,0.8582172565331075,0.9016491802603728,0.88963108533972,0.8215106995805906,0.827457420468108,Combination of 2.1.1 & 1.2
UMS4.1.3,0.9289986367034611,0.8870174978701094,0.04198113883335164,0.5260980894228875,0.9796292170985866,0.1834862385321101,0.9778024417314095,0.3426118508907774,0.0018267753671771247,28.621496489857616,1,8.799982443317194e-8,65.78257977571323,0.10142922448013715,1,1,5.035131613284907e-16,0.7501212036276947,0.8340543198802255,0.9080939085063846,0.9184563362504723,0.915872792383694,0.437242051234224,0.376115810328413,0.9791502904452145,0.9842255279880959,Combination of 2.1.1 & 1.3.1
UMS4.1.4,0.8837716484926235,0.8293245139306474,0.05444713456197603,0.9128933231005372,0.8250096786682153,0.9282569085939872,0.6372346698113207,-0.015363585493450072,0.18777500885689458,15.101409967229136,1,1.0188716074954837e-4,1.4081914412733318,36.626448651208996,1,1,0.23535685640840306,1.4307721062203557e-9,0.7400680135499639,0.8828838483267107,0.8381867682041578,0.8356522800045109,0.9256891021698139,0.9307172036027367,0.6668542168217356,0.6503713135305967,Combination of 2.1.1 & 1.3.2
UMS4.2.1,0.9315932978583051,0.8901631823841667,0.04143011547413844,0.5428402599960607,0.9804460285636494,0.22247706422018348,0.9763226045135035,0.3203631957758772,0.004123424050145874,28.748726909895293,1,8.240407198826298e-8,56.911335442117256,0.7336117106311769,1,1,4.559103444745818e-14,0.39171499171944346,0.8467336013548472,0.9191650746851768,0.9211904059520036,0.9188709317044683,0.46059232008409395,0.4095664446213603,0.9793988547038923,0.9833723046060744,NA
UMS4.2.2,0.8850545221295703,0.8365654439767488,0.04848907815282144,0.8917881811204912,0.8714672861014324,0.9405177649559672,0.6347287735849056,-0.04872958383547599,0.23673851251652678,12.32758424418398,1,4.4631362525494796e-4,17.074248345213213,58.973875884791205,1,1,3.5946435178493363e-5,1.5977926526354454e-14,0.7486631450889522,0.8865133516788286,0.8444713234132016,0.8409241101465492,0.9323382812057028,0.9299180844043493,0.6723154643072298,0.667331476860165,NA
UMS4.3.1,0.9315932978583051,0.8901631823841667,0.04143011547413844,0.5428402599960607,0.9804460285636494,0.22247706422018348,0.9763226045135035,0.3203631957758772,0.004123424050145874,28.748726909895293,1,8.240407198826298e-8,56.911335442117256,0.7336117106311769,1,1,4.559103444745818e-14,0.39171499171944346,0.8467336013548472,0.9191650746851768,0.9211904059520036,0.9188709317044683,0.46059232008409395,0.4095664446213603,0.9793988547038923,0.9833723046060744,NA
UMS4.3.2,0.8850545221295703,0.8365654439767488,0.04848907815282144,0.8917881811204912,0.8714672861014324,0.9405177649559672,0.6347287735849056,-0.04872958383547599,0.23673851251652678,12.32758424418398,1,4.4631362525494796e-4,17.074248345213213,58.973875884791205,1,1,3.5946435178493363e-5,1.5977926526354454e-14,0.7486631450889522,0.8865133516788286,0.8444713234132016,0.8409241101465492,0.9323382812057028,0.9299180844043493,0.6723154643072298,0.667331476860165,NA
UMS4.4.1,0.9199348860505885,0.8278327147732084,0.09210217127738007,0.710625974604589,0.9464462063711521,0.8806713181218179,0.7250586854460094,-0.1700453435172289,0.2213875209251427,166.43054523735503,1,4.454699921280074e-38,96.4963240742592,512.7306214749482,1,1,8.94096826782611e-23,1.6147775289558825e-113,0.820832939325487,0.9394191508097222,0.8737578338399331,0.8720839337883318,0.8559785070195632,0.8610094677970374,0.8849056210587947,0.8790724847934691,Combination of 2.1.4 & 1.1
UMS4.4.2,0.8905907334563303,0.856293675877867,0.03429705757846335,0.8085828343313374,0.907914154404014,0.9297731425091352,0.6213024954351796,-0.12119030817779786,0.28661165896883445,17.606348431290428,1,2.7167989807320348e-5,80.71701687111094,391.2126597716197,1,1,2.604694622785059e-19,4.506929857294226e-87,0.816781438963904,0.9367841946516294,0.871883236769424,0.8700617453676041,0.9103642294541061,0.9105957844841335,0.8340829252762972,0.8303594648923496,Combination of 2.1.4 & 1.2
UMS4.4.3,0.9308896609349575,0.8905563929484239,0.04033326798653358,0.5203860547567462,0.9824756812950175,0.19036697247706422,0.9809100998890122,0.3300190822796819,0.0015655814060052675,27.097573742982693,1,1.9344057279473073e-7,61.06456964506986,0.07705943926566887,1,1,5.5233248676637244e-15,0.7813226412598996,0.8459032372350884,0.9186904768579519,0.9207631658885058,0.9184209739519544,0.4356932842549847,0.4083001291307451,0.9820837797241394,0.9830201442329954,Combination of 2.1.4 & 1.3.1
UMS4.4.4,0.8830019243104554,0.8366406093405492,0.04636131496990625,0.888142747505756,0.8726287262872628,0.9378985727300334,0.6400353773584906,-0.04975582522427746,0.23259334892877226,11.238101375993116,1,8.013508842627527e-4,17.16200636823854,57.3313502273626,1,1,3.432330290962249e-5,3.682385532092656e-14,0.7479506460520259,0.8859543436998685,0.8442033410326379,0.8416819453645293,0.9296744146149508,0.9300685804286034,0.6772102485209422,0.669269162128628,Combination of 2.1.4 & 1.3.2
